#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
50000,499.99999999969026,629856.8771910281,156533.7785366093,786390.6557276373,298.84340402286597,0
100000,999.9999999992356,624697.6856450767,156941.756048974,781639.4416940507,299.6222863171519,1.06e+03
150000,1499.9999999987808,622307.7665352522,157417.02727695447,779724.7938122067,300.5296410934285,1.06e+03
200000,1999.999999998326,618611.5906764943,158449.0880754134,777060.6787519077,302.49997979638067,1.06e+03
250000,2500.0000000081486,617481.8574735699,156695.44499480238,774177.3024683723,299.15204638194274,1.05e+03
300000,3000.0000000190626,617599.5584924892,156419.21086935187,774018.769361841,298.624679400013,1.05e+03
350000,3500.0000000299765,617173.2450784812,157530.23306397517,774703.4781424564,300.74576570924387,1.05e+03
400000,4000.0000000408904,615483.0505026329,157542.44544679916,773025.495949432,300.76908074123554,1.05e+03
450000,4500.000000051804,614610.9210699389,156491.4201850946,771102.3412550335,298.76253640391633,1.05e+03
500000,5000.000000062718,613702.059458059,156357.3113720199,770059.370830079,298.50650518443524,1.05e+03
550000,5500.000000073632,614572.1578970399,156219.2968933063,770791.4547903462,298.24301753973134,1.05e+03
600000,6000.000000084546,613901.6637998356,157899.2092347395,771800.8730345751,301.4501893544493,1.05e+03
650000,6500.00000009546,613891.2263044039,158445.7649717754,772336.9912761792,302.4936355580164,1.05e+03
700000,7000.000000106374,613005.5379091804,157505.2394067795,770510.7773159599,300.6980495570807,1.05e+03
750000,7500.0000001172875,613044.2440543765,156246.7431090032,769290.9871633797,298.2954159460248,1.05e+03
800000,8000.0000001282015,612508.8388479226,156605.68891087305,769114.5277587957,298.9806903084871,1.05e+03
850000,8500.000000139114,612670.3461556128,154966.7949112773,767637.1410668902,295.85182785943243,1.05e+03
900000,9000.000000150028,612181.4557768332,157475.17546325398,769656.6312400872,300.6406535668637,1.05e+03
950000,9500.000000160942,611902.8414674909,156725.0103601203,768627.8518276112,299.2084905213188,1.05e+03
1000000,10000.000000171856,611593.5379657075,156911.43632598958,768504.974291697,299.5644020105799,1.05e+03
1050000,10500.00000018277,612721.5177395579,157862.212736405,770583.7304759629,301.3795582127075,1.05e+03
1100000,11000.000000193684,612887.6758295398,157225.2259527602,770112.9017823,300.16346734387645,1.05e+03
1150000,11500.000000204598,612286.6019322418,156823.48440337335,769110.0863356151,299.39649031643495,1.05e+03
1200000,12000.000000215512,612146.2561318955,157536.72729324814,769682.9834251436,300.7581640401383,1.05e+03
1250000,12500.000000226426,612898.421500108,157419.9359690289,770318.3574691368,300.5351941660555,1.05e+03
1300000,13000.00000023734,612717.7417985231,157460.54899432967,770178.2907928528,300.61272972957414,1.05e+03
1350000,13500.000000248254,611434.4290746318,157232.46652575413,768666.895600386,300.17729054229926,1.05e+03
1400000,14000.000000259168,610696.4184958428,157713.06104676324,768409.479542606,301.09480817942386,1.05e+03
1450000,14500.000000270082,611657.3215500664,156431.97044504975,768089.291995116,298.6490390945856,1.05e+03
1500000,15000.000000280996,611422.989490947,157215.45081776762,768638.4403087146,300.14480533594894,1.05e+03
1550000,15500.00000029191,610464.3836755996,157240.76229909126,767705.1459746908,300.1931282558346,1.05e+03
1600000,16000.000000302824,612355.0358521019,156441.80981826302,768796.8456703649,298.6678237416566,1.05e+03
1650000,16500.000000292635,611492.6119717776,157307.09503512815,768799.7070069058,300.3197661024434,1.05e+03
1700000,17000.0000002126,611844.9822287222,158244.14156892413,770089.1237976463,302.1087101789573,1.05e+03
1750000,17500.000000132564,610760.1827799707,156943.3182433564,767703.5010233271,299.62526875002584,1.05e+03
